tienda,pais,moneda,categoria,keyword_busqueda,producto,precio_raw,url_producto,fecha_extraccion
NomadaWare,Ecuador,USD,GPU,tarjeta de video,TARJETA DE VIDEO GIGABYTE EAGLE GEFORCE RTX 5060 8GB OC GDDR7,"$575.00 
El precio original era: $575.00.
$499.99
El precio actual es: $499.99.",https://nomadaware.com.ec/producto/tarjeta-de-video-gigabyte-eagle-geforce-rtx-5060-8gb-oc-gddr7/,2026-06-30 01:48:27
NomadaWare,Ecuador,USD,GPU,tarjeta de video,TARJETA DE VIDEO GIGABYTE EAGLE ICE GEFORCE RTX 5060 8GB OC GDDR7,"$586.50 
El precio original era: $586.50.
$509.99
El precio actual es: $509.99.",https://nomadaware.com.ec/producto/tarjeta-de-video-gigabyte-eagle-ice-geforce-rtx-5060-8gb-oc-gddr7/,2026-06-30 01:48:27
NomadaWare,Ecuador,USD,GPU,tarjeta de video,TARJETA DE VIDEO GIGABYTE WINDFORCE V2 GEFORCE RTX 5050 8GB OC GDDR6,"$483.00 
El precio original era: $483.00.
$419.99
El precio actual es: $419.99.",https://nomadaware.com.ec/producto/tarjeta-de-video-gigabyte-windforce-v2-geforce-rtx-5050-8gb-oc-gddr6/,2026-06-30 01:48:27
NomadaWare,Ecuador,USD,GPU,tarjeta de video,TARJETA DE VIDEO ASUS DUAL EVO GEFORCE RTX 5060 TI 16GB OC,"$885.50 
El precio original era: $885.50.
$769.99
El precio actual es: $769.99.",https://nomadaware.com.ec/producto/asus-dual-evo-geforce-rtx-5060-ti-16gb/,2026-06-30 01:48:27
NomadaWare,Ecuador,USD,GPU,tarjeta de video,TARJETA DE VIDEO ZOTAC AMP EXTREME INFINITY GEFORCE RTX 5090 32GB GDDR7,"$4588.50 
El precio original era: $4588.50.
$3989.99
El precio actual es: $3989.99.",https://nomadaware.com.ec/producto/zotac-amp-extreme-infinity-rtx-5090-32g/,2026-06-30 01:48:27
NomadaWare,Ecuador,USD,GPU,tarjeta de video,TARJETA DE VIDEO MSI LIGHTNING Z GEFORCE RTX 5090 32GB GDDR7,"$8038.50 
El precio original era: $8038.50.
$6989.99
El precio actual es: $6989.99.",https://nomadaware.com.ec/producto/msi-geforce-rtx-5090-32g-lightning-z/,2026-06-30 01:48:27
NomadaWare,Ecuador,USD,GPU,tarjeta de video,TARJETA DE VIDEO XFX SWIFT AMD RADEON RX 9070 XT 16GB GDDR6,"$1322.50 
El precio original era: $1322.50.
$1149.99
El precio actual es: $1149.99.",https://nomadaware.com.ec/producto/xfx-swift-amd-radeon-rx-9070-xt-16gb/,2026-06-30 01:48:27
NomadaWare,Ecuador,USD,GPU,tarjeta de video,TARJETA DE VIDEO XFX SWIFT WHITE RADEON RX 9060 XT 16GB OC GDDR6,"$805.00 
El precio original era: $805.00.
$699.99
El precio actual es: $699.99.",https://nomadaware.com.ec/producto/xfx-swift-amd-radeon-rx-9060-xt-16gb-oc-wh/,2026-06-30 01:48:27
NomadaWare,Ecuador,USD,GPU,tarjeta de video,TARJETA DE VIDEO XFX SWIFT AMD RADEON RX 9060 XT 16GB OC GDDR6,"$793.50 
El precio original era: $793.50.
$689.99
El precio actual es: $689.99.",https://nomadaware.com.ec/producto/xfx-swift-amd-radeon-rx-9060-xt-16gb-oc/,2026-06-30 01:48:27
NomadaWare,Ecuador,USD,GPU,tarjeta de video,TARJETA DE VIDEO MSI GAMING TRIO WHITE GEFORCE RTX 5080 16GB OC GDDR7,"$2415.00 
El precio original era: $2415.00.
$2099.99
El precio actual es: $2099.99.",https://nomadaware.com.ec/producto/msi-gaming-trio-white-geforce-rtx-5080-16gb-oc-gddr7/,2026-06-30 01:48:27
