modelo,nucleos,hilos,tdp,clock_base,socket
A8-6500B with Radeon™ HD 8570D,4.0,4.0,65W,3.5GHz,FM2
760K,4.0,4.0,100W,3.8GHz,FM2
750,4.0,,65W,3.4GHz,FM2
A6-6420B with Radeon™ HD 8470D,2.0,2.0,65W,4.0GHz,FM2
750K,4.0,4.0,100W,3.4GHz,FM2
740,4.0,4.0,65W,3.2GHz,FM2
A6-6400B with Radeon™ HD 8470D,2.0,2.0,65W,3.9GHz,FM2
2800+,,,45W,56MHz,939
X1150,4.0,4.0,17W,2.0GHz,FT3
6386 SE,16.0,16.0,140W,2.8GHz,G34
6380,16.0,16.0,115W,2.5GHz,G34
A10 PRO-7850B with Radeon™ R7 Graphics,4.0,4.0,95W,3.7GHz,FM2+
6378,16.0,16.0,115W,2.4GHz,G34
6376,16.0,16.0,115W,2.3GHz,G34
A10 PRO-7800B with Radeon™ R7 Graphics,4.0,4.0,65W,3.5GHz,FM2+
A8 PRO-7600B with Radeon™ R7 Graphics,4.0,4.0,65W,3.1GHz,FM2+
6370P,16.0,16.0,99W,2.0GHz,G34
A6 PRO-7400B with Radeon™ R5 Graphics,2.0,2.0,65W,3.5GHz,FM2+
6366 HE,16.0,16.0,85W,1.8GHz,G34
A4 PRO-7350B with Radeon™ R5 Graphics,2.0,2.0,65W,3.4GHz,FM2+
6348,12.0,12.0,115W,2.8GHz,G34
6344,12.0,12.0,115W,2.6GHz,G34
A4 PRO-7300B with Radeon™ HD 8470D,2.0,2.0,65W,3.8GHz,FM2
A10 PRO-7350B with Radeon™ R6 Graphics,4.0,4.0,19W,2.1GHz,FP3
6338P,12.0,12.0,99W,2.3GHz,G34
A8 PRO-7150B with Radeon™ R5 Graphics,4.0,4.0,100W,1.9GHz,FP3
6328,8.0,8.0,115W,3.2GHz,G34
6320,8.0,8.0,115W,2.8GHz,G34
A6 PRO-7050B with Radeon™ R4 Graphics,2.0,2.0,100W,2.2GHz,FP3
A4 PRO-3350B with Radeon™ R4 Graphics,4.0,4.0,15W,2.0GHz,FT3b
6308,4.0,4.0,115W,3.5GHz,G34
A4 PRO-3340B with Radeon™ HD 8240 Graphics,4.0,4.0,25W,2.2GHz,FT3
6284 SE,16.0,16.0,140W,2.7GHz,G34
6282 SE,16.0,16.0,140W,2.6GHz,G34
FX-7600P with Radeon™ R7 Graphics,4.0,4.0,35W,2.7GHz,FP3
AMD Athlon™ 3000G,2.0,4.0,35W,3.5GHz,AM4
6278,16.0,16.0,115W,2.4GHz,G34
FX-7500 with Radeon™ R7 Graphics,4.0,4.0,20W,2.1GHz,FP3
AMD Athlon™ 240GE,2.0,4.0,35W,3.5GHz,AM4
6276,16.0,16.0,115W,2.3GHz,G34
AMD Athlon™ 220GE,2.0,4.0,35W,3.4GHz,AM4
FX-8800P with Radeon™ R7 Graphics,4.0,4.0,,2.1GHz,FP4
AMD Athlon™ 200GE,2.0,4.0,35W,3.2GHz,AM4
6274,16.0,16.0,115W,2.2GHz,G34
Athlon™ 5370 APU with Radeon™ R3 Series,4.0,4.0,25W,2.2GHz,AM1
6272,16.0,16.0,115W,2.1GHz,G34
Athlon™ 5350 APU with Radeon™ R3 Series,4.0,4.0,25W,2.05GHz,AM1
AMD Athlon™ PRO 200U Mobile Processor with Radeon™ Vega 3 Graphics,2.0,4.0,15W,2.3GHz,FP5
6262 HE,16.0,16.0,85W,1.6GHz,G34
Athlon™ 5150 APU with Radeon™ R3 Series,4.0,4.0,25W,1.6GHz,AM1
AMD Athlon™ PRO 200GE,2.0,4.0,35W,3.2GHz,AM4
6238,12.0,12.0,115W,2.6GHz,G34
Sempron™ 3850 APU with Radeon™ R3 Series,4.0,4.0,25W,1.3GHz,AM1
6234,12.0,12.0,115W,2.4GHz,G34
Sempron™ 2650 APU with Radeon™ R3 Series,2.0,2.0,25W,1.45GHz,AM1
E2-7110 with Radeon™ R2 Graphics,4.0,4.0,65W,1.8GHz,FT3b
6220,8.0,8.0,115W,3.0GHz,G34
E2-6110 with Radeon™ R2 Graphics,4.0,4.0,15W,1.5GHz,FT3b
6212,8.0,8.0,115W,2.6GHz,G34
E2-3800 with Radeon™ HD 8280,4.0,4.0,15W,1.3GHz,FT3
6204,4.0,4.0,115W,3.3GHz,G34
E2-3000 with Radeon™ HD 8280,2.0,2.0,15W,1.65GHz,FT3
6180 SE,12.0,12.0,140W,2.5GHz,G34
6176,12.0,12.0,115W,2.3GHz,G34
6166 HE,12.0,12.0,85W,1.8GHz,G34
6140,8.0,8.0,115W,2.6GHz,G34
6132 HE,8.0,8.0,85W,2.2GHz,G34
4386,8.0,8.0,95W,3.1GHz,C32
4376 HE,8.0,8.0,65W,2.6GHz,C32
4365,8.0,8.0,40W,2.0GHz,C32
4340,6.0,6.0,95W,3.5GHz,C32
4334,6.0,6.0,95W,3.1GHz,C32
E1-7010 with Radeon™ R2 Graphics,2.0,2.0,10W,1.5GHz,FP4
4332 HE,6.0,6.0,65W,3.0GHz,C32
E1 Micro-6200T with Radeon™ R2 Graphics,2.0,2.0,3.95W,1.4GHz,FT3b
4310 EE,6.0,6.0,35W,2.2GHz,C32
4284,8.0,8.0,95W,3.0GHz,C32
4280,8.0,8.0,95W,2.8GHz,C32
E1-6010 with Radeon™ R2 Graphics,2.0,2.0,10W,1.35GHz,FT3b
4276 HE,8.0,8.0,65W,2.6GHz,C32
E1-2500 with Radeon™ HD 8240,2.0,2.0,15W,1.4GHz,FT3
4274 HE,8.0,8.0,65W,2.5GHz,C32
E1-2200 with Radeon™ HD 8210,2.0,2.0,9W,1.0GHz,FT3
E1-2100 with Radeon™ HD 8210,2.0,2.0,9W,1.0GHz,FT3
4256 EE,8.0,8.0,35W,1.6GHz,C32
4240,6.0,6.0,95W,3.4GHz,C32
4238,6.0,6.0,95W,3.3GHz,C32
4234,6.0,6.0,95W,3.1GHz,C32
4230 HE,6.0,6.0,65W,2.9GHz,C32
4228 HE,6.0,6.0,65W,2.8GHz,C32
4226,6.0,6.0,95W,2.7GHz,C32
3380,8.0,8.0,65W,2.6GHz,AM3+
3365,8.0,8.0,65W,2.3GHz,AM3+
3350 HE,4.0,4.0,45W,2.8GHz,AM3+
3320 EE,4.0,4.0,25W,1.9GHz,AM3+
3280,8.0,8.0,65W,2.4GHz,AM3+
3260 HE,4.0,4.0,45W,2.7GHz,AM3+
AMD Opteron™ X2170,4.0,4.0,25W,2.4GHz,FT3
3250 HE,,,45W,2.5GHz,AM3+
AMD Opteron™ X2150 APU,4.0,4.0,22W,1.9GHz,FT3
TL-64,2.0,2.0,35W,2.2GHz,S1
TL-60,2.0,2.0,31W,2.0GHz,S1
TL-56,,,31W,1.8GHz,S1
TL-52,2.0,2.0,31W,1.6GHz,S1
