tienda,pais,moneda,categoria,keyword_busqueda,producto,precio_raw,url_producto,fecha_extraccion
Tecnosmart,Ecuador,USD,CPU,procesador,PROCESADOR AMD RYZEN 3 5300G – AM4 – 16MB – 64W – 8 THREAD,$151.99 Inc. IVA,https://www.tecnosmart.com.ec/producto/procesador-amd-ryzen-3-5300g-am4-16mb-64w-8-thread/,2026-06-30 01:43:35
Tecnosmart,Ecuador,USD,CPU,procesador,PROCESADOR AMD RYZEN 7 9850X3D 8-CORES/16-HILOS 4.7GHz | AM5,$748.99 Inc. IVA,https://www.tecnosmart.com.ec/producto/procesador-amd-ryzen-7-9850x3d-4-7ghz-8-cores-16-hilos-96mb-am5-120w/,2026-06-30 01:43:35
Tecnosmart,Ecuador,USD,CPU,procesador,PROCESADOR AMD RYZEN 5 8500G – BASE 3.5GHZ – 65W – AM5 – GRAFICOS AMD RADEON™ 740M (100-100000931BOX),$204.99 Inc. IVA,https://www.tecnosmart.com.ec/producto/procesador-amd-ryzen-5-8500g-base-3-5ghz-65w-am5-graficos-amd-radeon-740m-100-100000931box/,2026-06-30 01:43:35
Tecnosmart,Ecuador,USD,CPU,procesador,Procesador AMD Ryzen 7 5700X 3.4GHz – 4.6Ghz – 8-Core – 16 Threads – AM4,$300.99 Inc. IVA,https://www.tecnosmart.com.ec/producto/procesador-amd-ryzen-7-5700x-3-4ghz-4-6ghz-8-core-16-threads/,2026-06-30 01:43:35
Tecnosmart,Ecuador,USD,CPU,procesador,PROCESADOR INTEL CORE i3-14100F – 3.5 GHZ – 14TH – LGA1700 – 4 CORES,$179.99 Inc. IVA,https://www.tecnosmart.com.ec/producto/procesador-intel-core-i3-14100f-3-5-ghz-14th-lga1700-4-cores/,2026-06-30 01:43:35
Tecnosmart,Ecuador,USD,CPU,procesador,PROCESADOR AMD RYZEN 5 8600G 4.3GHz BASE – 6 CORES – 12 HILOS – AM5 – 65W – WITH RADEON™ GRAPHICS,$248.99 Inc. IVA,https://www.tecnosmart.com.ec/producto/procesador-amd-ryzen-5-8600g-4-3ghz-base-6-cores-12-hilos-am5-65w-with-radeon-graphics/,2026-06-30 01:43:35
Tecnosmart,Ecuador,USD,CPU,procesador,PROCESADOR AMD RYZEN 5 5600GT 3.6GHZ TURBO 4.6GHz AM4 6-CORE 12 THREADS – Gráficos Radeon VEGA integrados,$216.99 Inc. IVA,https://www.tecnosmart.com.ec/producto/procesador-amd-ryzen-5-5600gt-3-6ghz-turbo-4-6ghz-am4-6-core-12-threads-graficos-radeon-vega-integrados/,2026-06-30 01:43:35
Tecnosmart,Ecuador,USD,CPU,procesador,Procesador Intel Core i7-12700,$486.99 Inc. IVA,https://www.tecnosmart.com.ec/producto/procesador-intel-core-i7-12700/,2026-06-30 01:43:35
Tecnosmart,Ecuador,USD,CPU,procesador,Procesador AMD Ryzen 5 5500,$151.99 Inc. IVA,https://www.tecnosmart.com.ec/producto/procesador-amd-ryzen-5-5500/,2026-06-30 01:43:35
Tecnosmart,Ecuador,USD,CPU,procesador,Procesador Intel Core i7-4790K,$115.99 Inc. IVA,https://www.tecnosmart.com.ec/producto/procesador-intel-core-i7-4790k-4ghz-turbo-4-4ghz-lga1150-h/,2026-06-30 01:43:35
