categoria_busqueda,tienda,producto,precio_tarjeta,precio_credito
procesador,Computron,"LAPTOP HP VICTUS AMD R7-7445HS 3.1GHZ-8GB-512GB SSD-TG RTX3050 6GB- SILVER-15.6""FHD-W11","$1.049,99",Crédito Directo 3 cuotas de: $478.19
procesador,Computron,"COMPUTADOR AIO HP AMD R5-7520U 2.8GHZ-8GB-512GB SSD-BLACK-23.8""FHD-FREEDOS","$1.068,27",Crédito Directo 6 cuotas de: $185.65
procesador,Computron,"COMPUTADOR AIO HP AMD R3-7320U 2.4GHZ-8GB-512GB SSD-BLACK-23.8""FHD-W11","$759,99",Crédito Directo 12 cuotas de: $108.55
procesador,Computron,"COMPUTADOR AIO HP AMD R5-7520U 2.8GHZ-8GB-512GB SSD-BLACK-23.8""FHD-W11","$819,99",Crédito Directo 12 cuotas de: $117.13
procesador,Computron,COMPUTADOR MINI PC XTRATECH NUC FANLESS CORE I5- 1235U-16GB DDR4-512GB SSD-WIFI-AC-BT.5.0-FREDOOS,"$799,99",Crédito Directo 6 cuotas de: $185.65
procesador,Computron,"LAPTOP HP OMNIBOOK 3 NGAI AMD R5-AI 340 2.0GHZ-16GB-512GB SSD-GLACIER SILVER-15.6""FHD-W11","$1.119,99",Crédito Directo 6 cuotas de: $259.96
procesador,Computron,"LAPTOP HP AMD R5-7520U 2.8GHZ-16GB-512GB SSD-MOONLIGHT BLUE-15.6""FHD-W11","$919,99",Crédito Directo 3 cuotas de: $418.98
procesador,Computron,"LAPTOP ASUS ZENBOOK S16 OLED AMD R7 AI 350 2.0GHZ-24GB-1TB SSD-SCANDINAVIAN WHITE-16""3K TOUCH-W11","$2.369,99
$1.899,90",Crédito Directo 18 cuotas de: $203.49
procesador,Computron,"LAPTOP HP AMD R7-7730U 2.0GHZ-16GB-512GB SSD-WARM GOLD-15.6""FHD-FREEDOS","$799,99",Crédito Directo 9 cuotas de: $149.47
procesador,Computron,"LAPTOP HP AMD R7-7730U 2.0GHZ-16GB-512GB SSD-WARM GOLD-15.6""FHD-W11","$979,99",Crédito Directo 18 cuotas de: $104.99
procesador,Computron,"LAPTOP LENOVO GAMING LOQ 15ARP9 AMD R7-7435HS 3.1GHZ-12GB-512GB SSD-TG RTX 4050 6GB-GREY-15.6""-W11","$1.469,99
$1.299,99",Crédito Directo 6 cuotas de: $301.68
laptop gamer,Computron,"MOCHILA EZMI PARA LAPTOP 15.6"" LÍNEA EZ PRIME DISEÑO PREMIUM NEGRA","$29,99",Crédito Directo 6 cuotas de: $7.48
laptop gamer,Computron,"FORRO SLEEVE EZMI PARA LAPTOP 15.6"" LÍNEA EZ MOVE ULTRALIVIANO NEGRO","$15,99",Crédito Directo 3 cuotas de: $7.96
laptop gamer,Computron,"MOCHILA EZMI PARA LAPTOP 15.6"" LÍNEA EZ GO DISEÑO LIGERO GRIS","$19,99",Crédito Directo 6 cuotas de: $4.95
laptop gamer,Computron,"FORRO EZMI PARA LAPTOP 15.6"" LINEA EZ GO NEOPRENO GRIS","$9,99",Crédito Directo 6 cuotas de: $2.54
laptop gamer,Computron,"FORRO SQUAREPRO KLIP XTREME PARA LAPTOP 14"" INCLUYE ASA E INTERIOR ACOLCHADO - GRIS","$16,99",Crédito Directo 6 cuotas de: $4.31
laptop gamer,Computron,"MOCHILA EZMI PARA LAPTOP 15.6"" LÍNEA EZ PRIME DISEÑO PREMIUM GRIS","$29,99",Crédito Directo 3 cuotas de: $14.68
laptop gamer,Computron,"MOCHILA EZMI PARA LAPTOP 15.6"" LÍNEA EZ MOVE DISEÑO COMPACTO GRIS","$24,99",Crédito Directo 3 cuotas de: $12.19
laptop gamer,Computron,"MOCHILA EZMI PARA LAPTOP 15.6"" LÍNEA EZ PRIME DISEÑO ELEGANTE NEGRA","$41,99",Crédito Directo 6 cuotas de: $10.40
laptop gamer,Computron,"MOCHILA EZMI PARA LAPTOP 15.6"" LÍNEA EZ MOVE DISEÑO COMPACTO AZUL","$24,99",Crédito Directo 6 cuotas de: $6.21
laptop gamer,Computron,"MOCHILA EZMI PARA LAPTOP 15.6"" LÍNEA EZ PRIME DISEÑO PREMIUM NEGRA","$29,99",Crédito Directo 6 cuotas de: $7.48
laptop gamer,Computron,"FORRO SLEEVE EZMI PARA LAPTOP 15.6"" LÍNEA EZ MOVE ULTRALIVIANO NEGRO","$15,99",Crédito Directo 3 cuotas de: $7.96
laptop gamer,Computron,"MOCHILA EZMI PARA LAPTOP 15.6"" LÍNEA EZ GO DISEÑO LIGERO GRIS","$19,99",Crédito Directo 6 cuotas de: $4.95
laptop gamer,Computron,"FORRO EZMI PARA LAPTOP 15.6"" LINEA EZ GO NEOPRENO GRIS","$9,99",Crédito Directo 6 cuotas de: $2.54
laptop gamer,Computron,"FORRO SQUAREPRO KLIP XTREME PARA LAPTOP 14"" INCLUYE ASA E INTERIOR ACOLCHADO - GRIS","$16,99",Crédito Directo 6 cuotas de: $4.31
laptop gamer,Computron,"MOCHILA EZMI PARA LAPTOP 15.6"" LÍNEA EZ PRIME DISEÑO PREMIUM GRIS","$29,99",Crédito Directo 3 cuotas de: $14.68
laptop gamer,Computron,"MOCHILA EZMI PARA LAPTOP 15.6"" LÍNEA EZ MOVE DISEÑO COMPACTO GRIS","$24,99",Crédito Directo 3 cuotas de: $12.19
laptop gamer,Computron,"MOCHILA EZMI PARA LAPTOP 15.6"" LÍNEA EZ PRIME DISEÑO ELEGANTE NEGRA","$41,99",Crédito Directo 6 cuotas de: $10.40
mouse,Computron,"LAPTOP ASUS VIVOBOOK 15 CI7-150U 1.8GHZ-16GB-512GB SSD-BLUE-15.6""FHD+MOUSE-W11","$1.199,99",Crédito Directo 24 cuotas de: $107.10
mouse,Computron,MOUSE KLIP XTREME ALAMBRICO USB GALET - NEGRO,"$9,99",Crédito Directo 6 cuotas de: $2.54
mouse,Computron,MOUSE LENOVO LEGION GAMER M300S RGB GY51H47350,"$59,99",Crédito Directo 3 cuotas de: $29.11
mouse,Computron,"LAPTOP ASUS EXPERTBOOK INTEL CORE ULTRA 5 225H-16GB-512GB SSD-16"" WUXGA-WF6E-TPM-3Y-MOUSE-GREY-FRE","$1.149,99",Crédito Directo 18 cuotas de: $123.20
mouse,Computron,COMPUTADOR PC XTRATECH AMD RYZEN 7 5700G AM4 3.80GHZ-16GB-SSD1024GB-TECLADO+MOUSE-W11,"$889,99",Crédito Directo 12 cuotas de: $111.99
mouse,Computron,COMPUTADOR PC XTRATECH AMD RYZEN 7 5700G AM4 3.80GHZ-8GB-512GB-TECLADO+MOUSE-W11,"$689,99",Crédito Directo 9 cuotas de: $128.95
mouse,Computron,"LAPTOP ASUS VIVOBOOK 15 CI3-1215U 1.2GHZ-8GB-512GB SSD-SILVER-15.6""FHD+ MOCHILA+MOUSE+W11","$569,99",Crédito Directo 9 cuotas de: $106.59
mouse,Computron,"LAPTOP ASUS TUF GAMING A15 AMD R7-7445HS 3.2GHZ-16GB-512GB SSD-TG RTX3050 4GB-BLACK-15.6""FHD-W11 MOCHILA + MOUSE","$1.249,99",Crédito Directo 12 cuotas de: $178.55
mouse,Computron,TECLADO + MOUSE XTECH INALAMBRICO CON MOUSE PAD XL Y HUB USB 3.0 4 PUERTOS,"$32,99",Crédito Directo 6 cuotas de: $8.24
mouse,Computron,MOUSE XTECH INALAMBRICO XTM-309 DE 3 BOTONES 1600 DPI,"$5,99",Crédito Directo 3 cuotas de: $2.99
mouse,Computron,MOUSE XTECH INALAMBRICO XTM-318 DE 4 BOTONES LUCES,"$6,99",Crédito Directo 3 cuotas de: $3.48
mouse,Computron,COMPUTADOR PC XTRATECH AMD R5-5600GT AM4 3.60GHz-8GB-SSD 512GBTB-TECLADO+MOUSE-W11,"$619,99",Crédito Directo 12 cuotas de: $88.57
mouse,Computron,MOUSE PAD EZMI MAT LINEA EZ SMART TAMAÑO 20X23CM NEGRO,"$5,99",Crédito Directo 3 cuotas de: $2.99
mouse,Computron,MOUSE PAD EZMI MAT LINEA EZ SMART TAMAÑO 30X70CM NEGRO,"$9,99",Crédito Directo 3 cuotas de: $4.98
mouse,Computron,MOUSE PAD XTECH DISNEY STICH AMARILLO,"$2,99",Crédito Directo 3 cuotas de: $1.49
